,ChannelID,ViewCount,likeCount,dislikeCount,uploadedDate,category,videoLanguage,duration,commentCount,subCount,TotalViewCount,VideoCount,channelDate,channelLocation,likePer,dislikePer,LikeDisRatio,days to publish,title
37,7-7knsP2n5w,1109531869,4850610,314038,2014-05-22,Music,Not specified,0 days 00:03:31.000000000,250076,18900000,18000015363,166,2009-09-02,Not specified,43.72,2.83,15.45,1723,Shakira - La La La (Brazil 2014) ft. Carlinhos Brown
38,7-7knsP2n5w,1109531869,4850610,314038,2014-05-22,Music,Not specified,0 days 00:03:31.000000000,250076,18900000,18000015363,166,2009-09-02,Not specified,43.72,2.83,15.45,1723,Shakira - La La La (Brazil 2014) ft. Carlinhos Brown
39,YJyNoFkud6g,1107936496,0,0,2013-10-30,Education,en,0 days 00:07:26.000000000,38496,9370000,6407857211,707,2011-08-27,IN,0,0,#DIV/0!,795,Finger Family Collection - 7 Finger Family Songs - Daddy Finger Nursery Rhymes
40,L3wKzyIN1yk,1104528862,7117155,225113,2016-07-21,Music,Not specified,0 days 00:03:18.000000000,174086,1460000,1399029758,52,2014-10-14,Not specified,64.44,2.04,31.59,646,Rag'n'Bone Man - Human (Official Video)
41,YpkJO_GrCo0,1103330172,3831547,580192,2018-02-21,Music,en,0 days 00:03:05.000000000,229070,22900000,11863094162,4839,2011-09-26,IN,34.73,5.26,6.6,2340,"Laung Laachi Title Song  Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Movie 2018"
42,CTFtOOh47oo,1094044435,5080655,278761,2017-04-14,Music,Not specified,0 days 00:04:47.000000000,133365,2350000,2202974004,65,2010-09-11,Not specified,46.44,2.55,18.21,2407,French Montana - Unforgettable ft. Swae Lee (Official Music Video)
43,KWZGAExj-es,1091742833,4120831,306729,2015-01-07,Music,Not specified,0 days 00:05:08.000000000,277775,10000000,8634557426,105,2009-05-12,Not specified,37.75,2.81,13.43,2066,Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)
44,1w7OgIMMRc4,1091759418,4534277,194563,2009-12-25,Music,Not specified,0 days 00:05:03.000000000,177692,4740000,4944900344,39,2009-05-12,Not specified,41.53,1.78,23.33,227,Guns N' Roses - Sweet Child O' Mine (Official Music Video)
45,ycV6cnK3SIs,1093449107,6120900,738965,2018-08-31,Music,en,0 days 00:03:38.000000000,423227,14000000,2648400323,7,2018-04-06,US,55.98,6.76,8.28,147,BEBE - 6ix9ine Ft. Anuel AA (Prod. By Ronny J) (Official Music Video)
46,HL1UzIK-flA,1086624752,6316998,579743,2016-02-22,Music,Not specified,0 days 00:07:35.000000000,383625,25700000,15276417837,106,2009-05-12,US,58.13,5.34,10.89,2477,Rihanna - Work (Explicit) ft. Drake
47,KEI4qSrkPAs,1084529873,4876048,197921,2015-07-29,Music,Not specified,0 days 00:03:39.000000000,173876,10800000,9340147593,79,2011-07-13,CA,44.96,1.82,24.7,1477,The Weeknd - Can't Feel My Face (Official Video)
48,y6Sxv-sUYtM,1080544402,4661493,246417,2013-11-22,Music,Not specified,0 days 00:04:07.000000000,161308,1810000,1394255067,387,2010-02-24,Not specified,43.14,2.28,18.92,1367,Pharrell Williams - Happy (Official Music Video)
49,My2FRPA3Gf8,1079644591,5683831,1574913,2013-09-09,Music,Not specified,0 days 00:03:42.000000000,1088623,10400000,3960999301,67,2009-05-12,Not specified,52.65,14.59,3.61,1581,Miley Cyrus - Wrecking Ball (Official Video)
